ID,Lugar,Etapa,Mes,Fecha,Dia,Hora,Usuario,ID_barrio,Barrio1,comuna,Estrato,Hora1,hora_r
2240,OTRO,INDAGACIÓN,enero,2020-01-28,martes,00:00:00,LENYPUERTA,217.0,Ciudad de Los Álamos,2,3,1900-01-01 00:00:00,0
2241,VIA PUBLICA,EJECUCIÓN DE PENAS,enero,2020-01-28,martes,20:30:00,LCRUZB1,203.0,Arboledas,2,6,1900-01-01 20:30:00,20
2242,VIA PUBLICA,INDAGACIÓN,enero,2020-01-28,martes,20:00:00,JVILLARREALM1,212.0,La Flora,2,5,1900-01-01 20:00:00,20
2243,VIA PUBLICA,QUERELLABLE,enero,2020-01-28,martes,21:00:00,YMEZA,1910.0,San Fernando Viejo,19,5,1900-01-01 21:00:00,21
2244,DOMICILIO,INDAGACIÓN,enero,2020-01-29,miércoles,06:00:00,JVILLARREALM1,1202.0,Asturias,12,2,1900-01-01 06:00:00,6
2245,VIA PUBLICA,INDAGACIÓN,enero,2020-01-28,martes,18:00:00,YMEZA,908.0,Belalcázar,9,3,1900-01-01 18:00:00,18
2246,DOMICILIO,INDAGACIÓN,enero,2020-01-29,miércoles,06:00:00,JVILLARREALM1,102.0,Vista Hermosa,1,1,1900-01-01 06:00:00,6
2247,VIA PUBLICA,INDAGACIÓN,enero,2020-01-28,martes,12:15:00,YMEZA,1916.0,Los Cámbulos,19,4,1900-01-01 12:15:00,12
2248,DOMICILIO,INDAGACIÓN,enero,2020-01-28,martes,13:00:00,JVILLARREALM1,1812.0,Colinas del Sur,18,3,1900-01-01 13:00:00,13
2249,VIA PUBLICA,INDAGACIÓN,enero,2020-01-29,miércoles,00:00:00,YMEZA,1304.0,El Poblado II,13,2,1900-01-01 00:00:00,0
2250,VIA PUBLICA,INDAGACIÓN,enero,2020-01-28,martes,20:00:00,JVILLARREALM1,217.0,Ciudad de Los Álamos,2,3,1900-01-01 20:00:00,20
2251,VIA PUBLICA,INDAGACIÓN,enero,2020-01-29,miércoles,08:00:00,YMEZA,813.0,Santa Fé,8,3,1900-01-01 08:00:00,8
2252,DOMICILIO,INDAGACIÓN,enero,2020-01-27,lunes,19:30:00,JVILLARREALM1,1395.0,Los Lagos,13,2,1900-01-01 19:30:00,20
2253,DOMICILIO,INDAGACIÓN,enero,2020-01-24,viernes,17:00:00,JVILLARREALM1,1101.0,Barrio San Carlos,11,3,1900-01-01 17:00:00,17
2254,VIA PUBLICA,INDAGACIÓN,enero,2020-01-21,martes,22:00:00,JVILLARREALM1,2004.0,Lleras Camargo,20,1,1900-01-01 22:00:00,22
2255,DOMICILIO,INDAGACIÓN,enero,2020-01-28,martes,21:20:00,JVILLARREALM1,1596.0,Ciudad Cordoba,15,3,1900-01-01 21:20:00,21
2256,VIA PUBLICA,INDAGACIÓN,enero,2020-01-28,martes,22:40:00,YMEZA,502.0,Los Andes,5,3,1900-01-01 22:40:00,23
2257,VIA PUBLICA,INDAGACIÓN,enero,2020-01-14,martes,22:00:00,YMEZA,1598.0,Mojica,15,1,1900-01-01 22:00:00,22
2258,DOMICILIO,INDAGACIÓN,enero,2020-01-29,miércoles,10:50:00,DNEIRAN1,905.0,Aranjuez,9,3,1900-01-01 10:50:00,11
2259,ESTABLECIMIENTO DE COMERCIO,INDAGACIÓN,enero,2020-01-29,miércoles,09:15:00,NSOLARTE,3000.0,Rural,30,2,1900-01-01 09:15:00,9
2260,VIA PUBLICA,INDAGACIÓN,enero,2020-01-29,miércoles,13:30:00,YMEZA,807.0,Benjamín Herrera,8,3,1900-01-01 13:30:00,14
2261,DOMICILIO,INDAGACIÓN,enero,2020-01-22,miércoles,05:38:00,HSALAZARC1,2201.0,Urbanización Ciudad Jardín,22,6,1900-01-01 05:38:00,6
2262,ESTABLECIMIENTO DE COMERCIO,INDAGACIÓN,enero,2020-01-29,miércoles,12:05:00,NSOLARTE,1906.0,San Fernando Nuevo,19,4,1900-01-01 12:05:00,12
2263,PARQUEADERO,INDAGACIÓN,enero,2020-01-29,miércoles,10:30:00,NSOLARTE,3000.0,Rural,30,2,1900-01-01 10:30:00,10
2264,DOMICILIO,INDAGACIÓN,enero,2020-01-29,miércoles,15:00:00,HSALAZARC1,1910.0,San Fernando Viejo,19,5,1900-01-01 15:00:00,15
2265,VEHICULO,EJECUCIÓN DE PENAS,enero,2020-01-29,miércoles,15:35:00,EMARTINEZ,211.0,Prados del Norte,2,5,1900-01-01 15:35:00,16
2266,VIA PUBLICA,EJECUCIÓN DE PENAS,enero,2020-01-29,miércoles,16:10:00,EMARTINEZ,1596.0,Ciudad Cordoba,15,3,1900-01-01 16:10:00,16
2267,VEHICULO TAXI,JUICIO,enero,2020-01-29,miércoles,15:00:00,EMARTINEZ,1901.0,El Refugio,19,4,1900-01-01 15:00:00,15
2268,CENTRO COMERCIAL,INDAGACIÓN,enero,2020-01-29,miércoles,19:10:00,EMARTINEZ,218.0,Chipichape,2,4,1900-01-01 19:10:00,19
2269,ENTIDAD PUBLICA / ESTATAL,INDAGACIÓN,enero,2020-01-29,miércoles,00:00:00,AJOJOA,209.0,San Vicente,2,4,1900-01-01 00:00:00,0
2270,OTRO,INDAGACIÓN,enero,2020-01-15,miércoles,00:00:00,EPAVA,1601.0,Mariano Ramos,16,2,1900-01-01 00:00:00,0
2271,VIA PUBLICA,JUICIO,enero,2020-01-28,martes,21:00:00,JORTIZO2,1495.0,Puerta del Sol,14,1,1900-01-01 21:00:00,21
2272,DOMICILIO,INDAGACIÓN,enero,2020-01-28,martes,00:00:00,CANGULOA1,810.0,El Troncal,8,3,1900-01-01 00:00:00,0
2273,SIN INFORMACION,INDAGACIÓN,enero,2020-01-24,viernes,23:30:00,andrelar,1994.0,Pampa Linda,19,5,1900-01-01 23:30:00,0
2274,AREA RURAL,INDAGACIÓN,enero,2020-01-26,domingo,00:00:00,MTRUJILLOD1,1909.0,Bellavista,19,2,1900-01-01 00:00:00,0
2275,SIN INFORMACION,INDAGACIÓN,enero,2020-01-28,martes,12:10:00,fsarasty,816.0,El Trébol,8,3,1900-01-01 12:10:00,12
2276,VIA PUBLICA,INDAGACIÓN,enero,2020-01-27,lunes,00:00:00,MMARTINEZG1,420.0,Flora Industrial,4,3,1900-01-01 00:00:00,0
2277,DOMICILIO,INDAGACIÓN,enero,2020-01-26,domingo,00:00:00,DRAMIKREZ,812.0,Atanasio Girardot,8,3,1900-01-01 00:00:00,0
2278,ESTABLECIMIENTO DE COMERCIO,INDAGACIÓN,enero,2020-01-28,martes,11:00:00,YCASTRILLON,312.0,San Nicolás,3,2,1900-01-01 11:00:00,11
2279,VIA PUBLICA,INDAGACIÓN,enero,2020-01-29,miércoles,07:34:00,MMARTINEZG1,310.0,El Calvario,3,3,1900-01-01 07:34:00,8
2280,OTRO,INDAGACIÓN,enero,2020-01-29,miércoles,03:00:00,MMARTINEZG1,309.0,San Pascual,3,1,1900-01-01 03:00:00,3
2281,VIA PUBLICA,INDAGACIÓN,enero,2020-01-28,martes,19:30:00,IRUIZH1,1897.0,Sector Alto Jordán,18,1,1900-01-01 19:30:00,20
2282,SIN INFORMACION,INDAGACIÓN,enero,2020-01-27,lunes,18:50:00,31169930,314.0,El Piloto,3,2,1900-01-01 18:50:00,19
2283,OTRO,INDAGACIÓN,enero,2020-01-28,martes,15:00:00,DRAMIKREZ,309.0,San Pascual,3,1,1900-01-01 15:00:00,15
2284,SIN INFORMACION,INDAGACIÓN,enero,2020-01-21,martes,18:00:00,fsarasty,199.0,Aguacatal,1,1,1900-01-01 18:00:00,18
2285,PARQUEADERO,INDAGACIÓN,enero,2020-01-27,lunes,01:30:00,IRUIZH1,1599.0,El Morichal,15,2,1900-01-01 01:30:00,2
2286,SIN INFORMACION,INDAGACIÓN,enero,2020-01-25,sábado,14:19:00,andrelar,1106.0,El Jardín,11,3,1900-01-01 14:19:00,14
2287,VIA PUBLICA,INDAGACIÓN,enero,2020-01-29,miércoles,13:00:00,MMARTINEZG1,1913.0,El Cedro,19,4,1900-01-01 13:00:00,13
2288,SIN INFORMACION,INDAGACIÓN,enero,2020-01-28,martes,18:00:00,gldorado,1008.0,Olímpico,10,4,1900-01-01 18:00:00,18
2289,LUGAR DE RECREACION / PARQUE,INDAGACIÓN,enero,2020-01-29,miércoles,07:20:00,MPADILLAD1,809.0,Industrial,8,2,1900-01-01 07:20:00,7
2290,OTRO,INDAGACIÓN,enero,2020-01-28,martes,10:00:00,CANGULOA1,312.0,San Nicolás,3,2,1900-01-01 10:00:00,10
2291,DOMICILIO,INDAGACIÓN,enero,2020-01-28,martes,13:30:00,FSARASTY,607.0,La Rivera I,6,2,1900-01-01 13:30:00,14
2292,SIN INFORMACION,INDAGACIÓN,enero,2020-01-29,miércoles,04:23:00,gldorado,1910.0,San Fernando Viejo,19,5,1900-01-01 04:23:00,4
2293,SIN INFORMACION,INDAGACIÓN,enero,2020-01-28,martes,07:59:00,31169930,707.0,Siete de Agosto,7,3,1900-01-01 07:59:00,8
2294,DOMICILIO,INDAGACIÓN,enero,2020-01-25,sábado,18:00:00,GDORADO,2004.0,Lleras Camargo,20,1,1900-01-01 18:00:00,18
2295,DOMICILIO,INDAGACIÓN,enero,2020-01-23,jueves,18:30:00,MPADILLAD1,211.0,Prados del Norte,2,5,1900-01-01 18:30:00,18
2296,LUGAR DE TRABAJO,INDAGACIÓN,enero,2020-01-29,miércoles,15:00:00,BCABALLERO,1910.0,San Fernando Viejo,19,5,1900-01-01 15:00:00,15
